DOI,Title,Abstract,FullText,Source
10.1002/hsr2.70241,"The Current Pathogenicity and Potential Risk Assessment of Nipah Virus as Potential Cause of ""Disease X"": A Narrative Review.","<h4>Background and aims</h4>The World Health Organization (WHO) recognized the potential for a severe international epidemic and introduced the term ""Disease X"" to classify pathogens that not yet identified. The Nipah virus (NiV) is highly dangerous due to its zoonotic nature, high mortality rate, and ability to cause severe clinical symptoms in humans. In this review, we gather the latest information on the NiV and its potential to become a significant candidate for Disease X.<h4>Methods</h4>We performed a thorough review of articles published in PubMed, Scopus, and Google Scholar using appropriate MeSH terms and keywords. Studies reported NiV infection were considered for this review.<h4>Results</h4>The NiV exhibits different epidemiological patterns in different countries that calls for customized prevention and control strategies. Genetic analysis highlights NiV's ability to mutate that alters possible treatment options. Transmission typically involves bats as the primary reservoir, with humans becoming infected either through intermediate hosts or food. This shows NiV's complex nature, including its ability to reach the central nervous system through the olfactory nerve. Promising treatment options, such as monoclonal antibodies, antivirals, and ongoing vaccine research, provide hope. However, the virus's adaptability, human-to-human transmission, and the lack of specific antiviral therapy raise concerns about its potential to cause a global pandemic. The interconnection between animals, humans, and the environment stresses the need for a One Health approach to tackle emerging infectious disease by NiV.<h4>Conclusion</h4>Global collaboration, surveillance, and research investments are imperative for the preparation of future pandemics. The ongoing COVID-19 challenges underscoring the critical need for sustained scientific endeavors, global leadership, and recognition of the prominence of NiV as a candidate for the potential Disease X.","<h4>Background and aims</h4>The World Health Organization (WHO) recognized the potential for a severe international epidemic and introduced the term ""Disease X"" to classify pathogens that not yet identified. The Nipah virus (NiV) is highly dangerous due to its zoonotic nature, high mortality rate, and ability to cause severe clinical symptoms in humans. In this review, we gather the latest information on the NiV and its potential to become a significant candidate for Disease X.<h4>Methods</h4>We performed a thorough review of articles published in PubMed, Scopus, and Google Scholar using appropriate MeSH terms and keywords. Studies reported NiV infection were considered for this review.<h4>Results</h4>The NiV exhibits different epidemiological patterns in different countries that calls for customized prevention and control strategies. Genetic analysis highlights NiV's ability to mutate that alters possible treatment options. Transmission typically involves bats as the primary reservoir, with humans becoming infected either through intermediate hosts or food. This shows NiV's complex nature, including its ability to reach the central nervous system through the olfactory nerve. Promising treatment options, such as monoclonal antibodies, antivirals, and ongoing vaccine research, provide hope. However, the virus's adaptability, human-to-human transmission, and the lack of specific antiviral therapy raise concerns about its potential to cause a global pandemic. The interconnection between animals, humans, and the environment stresses the need for a One Health approach to tackle emerging infectious disease by NiV.<h4>Conclusion</h4>Global collaboration, surveillance, and research investments are imperative for the preparation of future pandemics. The ongoing COVID-19 challenges underscoring the critical need for sustained scientific endeavors, global leadership, and recognition of the prominence of NiV as a candidate for the potential Disease X.",EuropePMC
10.1093/ofid/ofaf163,Incidence of Breakthrough Fungal Infections in Patients With Isavuconazole Prophylaxis: A Systematic Review and Meta-analysis.,"<h4>Background</h4>Isavuconazole (ISA) is a newer triazole that has activity against most mold species and has been utilized for prophylaxis as well as treatment in patients with hematologic malignancies (HM) and hematopoietic stem cell transplant (HSCT). However, several studies have documented breakthrough invasive fungal infections (bIFIs). Thus, we conducted a systematic review and meta-analysis to investigate the incidence of bIFIs among patients receiving ISA prophylaxis.<h4>Methods</h4>We conducted a systematic review and meta-analysis of the published literature using the concept of ISA, HSCT, and HM from 5 search engines. In patients with HSCT and HM, the pooled incidence of bIFI while undergoing ISA prophylaxis was calculated via the DerSimonian-Laird random effect model.<h4>Results</h4>The systematic review and meta-analysis included 35 and 19 studies, respectively. In total, 991 patients were identified as using ISA prophylaxis, and the majority had either acute myeloid leukemia or myelodysplastic syndrome (69.9%). The pooled incidence of proven/probable bIFI was 7% (95% CI, 4%-12%, <i>I<sup>2</sup></i> = 55%). The most common pathogen was <i>Aspergillus</i> species (43.1%), followed by <i>Candida</i> (22.4%) and Mucorales (12.1%). In 19 studies, mortality rates were documented and ranged between 0% and 100%; the majority of which were >50%.<h4>Conclusions</h4>In patients with HM or HSCT, we found a high incidence of bIFI while undergoing ISA prophylaxis, with high mortality. Given the lack of randomized clinical trials evaluating ISA in this indication, its role in prophylaxis remains unclear.","<h4>Background</h4>Isavuconazole (ISA) is a newer triazole that has activity against most mold species and has been utilized for prophylaxis as well as treatment in patients with hematologic malignancies (HM) and hematopoietic stem cell transplant (HSCT). However, several studies have documented breakthrough invasive fungal infections (bIFIs). Thus, we conducted a systematic review and meta-analysis to investigate the incidence of bIFIs among patients receiving ISA prophylaxis.<h4>Methods</h4>We conducted a systematic review and meta-analysis of the published literature using the concept of ISA, HSCT, and HM from 5 search engines. In patients with HSCT and HM, the pooled incidence of bIFI while undergoing ISA prophylaxis was calculated via the DerSimonian-Laird random effect model.<h4>Results</h4>The systematic review and meta-analysis included 35 and 19 studies, respectively. In total, 991 patients were identified as using ISA prophylaxis, and the majority had either acute myeloid leukemia or myelodysplastic syndrome (69.9%). The pooled incidence of proven/probable bIFI was 7% (95% CI, 4%-12%, <i>I<sup>2</sup></i> = 55%). The most common pathogen was <i>Aspergillus</i> species (43.1%), followed by <i>Candida</i> (22.4%) and Mucorales (12.1%). In 19 studies, mortality rates were documented and ranged between 0% and 100%; the majority of which were >50%.<h4>Conclusions</h4>In patients with HM or HSCT, we found a high incidence of bIFI while undergoing ISA prophylaxis, with high mortality. Given the lack of randomized clinical trials evaluating ISA in this indication, its role in prophylaxis remains unclear.",EuropePMC
10.1111/pde.15947,Systematic Review of the Prevalence of Tinea Pedis in Children.,"<h4>Background/objectives</h4>Tinea pedis, commonly known as athlete's foot, is a fungal infection that affects the skin of the feet. While there is extensive research on the prevalence of tinea pedis in adults, data regarding prevalence in children are limited. Therefore, it is important to gain information about epidemiology and prevalence in pediatric patients to prevent and treat this condition in children.<h4>Methods</h4>A comprehensive search across PubMed and Embase was conducted for studies published up to October 10, 2024. Inclusion criteria were studies reporting on the prevalence of tinea pedis in children (0-19 years) with a study population of a minimum of 100 children. A total of 29 studies met the inclusion criteria and were analyzed to determine prevalence patterns, diagnostic methods, and etiological agents.<h4>Results</h4>The included studies revealed prevalence rates varying from 0.03% to 15.6%. The most common diagnostic methods were clinical examination, microscopy, and culture. The main etiological agents were dermatophytes, specifically Trichophyton rubrum.<h4>Conclusions</h4>This systematic review reveals heterogeneous studies with variations among countries when reporting the prevalence of tinea pedis in children of up to 15.6%. Healthcare professionals should increase awareness of recognizing tinea pedis and consider it a potential diagnosis within the pediatric population.","<h4>Background/objectives</h4>Tinea pedis, commonly known as athlete's foot, is a fungal infection that affects the skin of the feet. While there is extensive research on the prevalence of tinea pedis in adults, data regarding prevalence in children are limited. Therefore, it is important to gain information about epidemiology and prevalence in pediatric patients to prevent and treat this condition in children.<h4>Methods</h4>A comprehensive search across PubMed and Embase was conducted for studies published up to October 10, 2024. Inclusion criteria were studies reporting on the prevalence of tinea pedis in children (0-19 years) with a study population of a minimum of 100 children. A total of 29 studies met the inclusion criteria and were analyzed to determine prevalence patterns, diagnostic methods, and etiological agents.<h4>Results</h4>The included studies revealed prevalence rates varying from 0.03% to 15.6%. The most common diagnostic methods were clinical examination, microscopy, and culture. The main etiological agents were dermatophytes, specifically Trichophyton rubrum.<h4>Conclusions</h4>This systematic review reveals heterogeneous studies with variations among countries when reporting the prevalence of tinea pedis in children of up to 15.6%. Healthcare professionals should increase awareness of recognizing tinea pedis and consider it a potential diagnosis within the pediatric population.",EuropePMC
10.1093/jscr/rjaf328,Incidental found tuberculous peritonitis during hernioplasty.,"We report the case of a 71-year-old male with palpable and painful left inguinal mass who underwent open hernioplasty. During the operation, ~700 ml of ascitic fluid and multiple nodules on the peritoneum were observed upon incision of the hernia sac. Culture and pathological examination confirmed a diagnosis of peritoneal tuberculosis (TB). Abdominal TB is rarely presented as a hernia. We review ten cases of abdominal TB associated with abdominal hernias and discuss surgical techniques and further management options.","We report the case of a 71-year-old male with palpable and painful left inguinal mass who underwent open hernioplasty. During the operation, ~700 ml of ascitic fluid and multiple nodules on the peritoneum were observed upon incision of the hernia sac. Culture and pathological examination confirmed a diagnosis of peritoneal tuberculosis (TB). Abdominal TB is rarely presented as a hernia. We review ten cases of abdominal TB associated with abdominal hernias and discuss surgical techniques and further management options.",EuropePMC
10.3390/tropicalmed10040086,Neonatal Mucormycosis: A Rare but Highly Lethal Fungal Infection in Term and Preterm Newborns-A 20-Year Systematic Review.,"<h4>Background/objectives</h4>Mucormycosis is a rare but life-threatening fungal infection, particularly in neonates, due to their undeveloped immune system. This systematic review aims to analyze the risk factors, clinical presentations, treatments, and outcomes of neonatal mucormycosis reported between 2004 and 2024.<h4>Methods</h4>A systematic literature search was conducted in PubMed, Scopus, and Web of Science following PRISMA guidelines. Only studies reporting cases of mucormycosis in neonates (≤28 days old) were included. Data on risk factors, clinical features, diagnostic methods, antifungal therapies, surgical interventions, and outcomes were extracted and analyzed.<h4>Results</h4>A total of 44 studies met the inclusion criteria, comprising 61 neonatal cases. The most common clinical presentations were gastrointestinal (n = 39), cutaneous (n = 19), rhino-orbito-cerebral (n = 2), and disseminated mucormycosis (n = 1). Diagnosis was primarily based on histopathology (93.4%) and fungal culture (26.2%). The main antifungal treatment was liposomal amphotericin B (63.9%), often combined with surgical debridement (60.6%). Mortality rates remained high (47.5%), particularly in cases of prematurely extreme neonates with angioinvasive disease or delayed diagnosis.<h4>Conclusions</h4>Neonatal mucormycosis remains a severe condition with high morbidity and mortality. Early diagnosis through a combination of clinical suspicion and laboratory confirmation, along with prompt antifungal therapy and surgical management, apparently is crucial for improving outcomes. Further studies are needed to optimize treatment strategies and improve neonatal survival.","<h4>Background/objectives</h4>Mucormycosis is a rare but life-threatening fungal infection, particularly in neonates, due to their undeveloped immune system. This systematic review aims to analyze the risk factors, clinical presentations, treatments, and outcomes of neonatal mucormycosis reported between 2004 and 2024.<h4>Methods</h4>A systematic literature search was conducted in PubMed, Scopus, and Web of Science following PRISMA guidelines. Only studies reporting cases of mucormycosis in neonates (≤28 days old) were included. Data on risk factors, clinical features, diagnostic methods, antifungal therapies, surgical interventions, and outcomes were extracted and analyzed.<h4>Results</h4>A total of 44 studies met the inclusion criteria, comprising 61 neonatal cases. The most common clinical presentations were gastrointestinal (n = 39), cutaneous (n = 19), rhino-orbito-cerebral (n = 2), and disseminated mucormycosis (n = 1). Diagnosis was primarily based on histopathology (93.4%) and fungal culture (26.2%). The main antifungal treatment was liposomal amphotericin B (63.9%), often combined with surgical debridement (60.6%). Mortality rates remained high (47.5%), particularly in cases of prematurely extreme neonates with angioinvasive disease or delayed diagnosis.<h4>Conclusions</h4>Neonatal mucormycosis remains a severe condition with high morbidity and mortality. Early diagnosis through a combination of clinical suspicion and laboratory confirmation, along with prompt antifungal therapy and surgical management, apparently is crucial for improving outcomes. Further studies are needed to optimize treatment strategies and improve neonatal survival.",EuropePMC
10.1007/s10151-024-03097-w,Feasibility and safety of biologic OviTex mesh in ventral mesh rectopexy: a prospective pilot study.,"<h4>Background</h4>Minimal-invasive ventral mesh rectopexy (VMR) is a widely accepted treatment for patients suffering from rectal prolapse. The type of mesh used in VMR remains a subject of debate. Currently, the most applied implant is a polypropylene mesh. The aim of the present pilot study was to determine the ease of use, feasibility, and safety of OviTex PGA mesh, a biologic mesh, in VMR.<h4>Methods</h4>Consecutive patients who underwent VMR for internal or external rectal prolapse were included in a prospective non-randomised pilot study in two centers. Preoperative and postoperative evaluation (90 days and 6 months) with a clinical examination and questionnaire regarding pelvic floor symptoms was performed. The primary objectives were to monitor the perioperative technical end result and the postoperative complication rate.<h4>Results</h4>Sixteen patients underwent VMR with an OviTex PGA implant. All operations were completed successfully and without intraoperative complications. The mean ODS and FISI score was significantly decreased after 6-months follow-up. No graft-related complications (GRC) occurred. Two patients developed a recurrent prolapse within 6 months.<h4>Conclusion</h4>Robotic correction of rectal prolapse using an OviTex mesh is a safe, minimally invasive, technically feasible treatment. However, further research is warranted to evaluate the potential added value of OviTex compared to polypropylene mesh on a larger scale. Long-term follow-up is essential to assess the durability of the procedure and monitor the occurrence of any new symptoms.","<h4>Background</h4>Minimal-invasive ventral mesh rectopexy (VMR) is a widely accepted treatment for patients suffering from rectal prolapse. The type of mesh used in VMR remains a subject of debate. Currently, the most applied implant is a polypropylene mesh. The aim of the present pilot study was to determine the ease of use, feasibility, and safety of OviTex PGA mesh, a biologic mesh, in VMR.<h4>Methods</h4>Consecutive patients who underwent VMR for internal or external rectal prolapse were included in a prospective non-randomised pilot study in two centers. Preoperative and postoperative evaluation (90 days and 6 months) with a clinical examination and questionnaire regarding pelvic floor symptoms was performed. The primary objectives were to monitor the perioperative technical end result and the postoperative complication rate.<h4>Results</h4>Sixteen patients underwent VMR with an OviTex PGA implant. All operations were completed successfully and without intraoperative complications. The mean ODS and FISI score was significantly decreased after 6-months follow-up. No graft-related complications (GRC) occurred. Two patients developed a recurrent prolapse within 6 months.<h4>Conclusion</h4>Robotic correction of rectal prolapse using an OviTex mesh is a safe, minimally invasive, technically feasible treatment. However, further research is warranted to evaluate the potential added value of OviTex compared to polypropylene mesh on a larger scale. Long-term follow-up is essential to assess the durability of the procedure and monitor the occurrence of any new symptoms.",EuropePMC
10.3390/pathogens14050466,Invasive Candidiasis Coinfection in Patients with Severe COVID-19 Disease: Scoping Review.,"Coinfection rates of candidiasis in patients affected by COVID-19 had a significantly increase during the sanitary contingency. The objective of this scoping review is to analyze the available scientific evidence around the coinfection of invasive candidiasis in hospitalized patients with severe COVID-19 disease. Online databases such as PubMed, EBSCO, SciFinder, Scopus, and SciELO were used to analyze the different scientific studies published from January 2020 to December 2022, selecting 48 publications that reported comorbidity between invasive candidiasis and COVID-19 as a study variable. Based on the PRISMA-ScR extension for scoping reviews, we identified more than half of the publications (57%) as observational, descriptive, and analytic studies, while 43% were systematic reviews. Overall, up to 169,468 adult patients admitted to the intensive care unit were examined. Coinfection was due mainly to <i>Candida albicans</i> (75%), but some more species were reported such as <i>Meyerozyma parapsilosis</i> (formerly <i>Candida parapsilosis</i>); <i>Meyerozyma guilliermondii</i> (formerly <i>Candida guilliermondii</i>); <i>Nakaseomyces glabratus</i> (formerly <i>Candida glabrata</i>); <i>Candida tropicalis</i>; <i>Candida dubliniensis</i>; <i>Clavispora lusitaniae</i> (formerly <i>Candida lusitaniae)</i>; and <i>Pichia kudriavzevii</i> (formerly <i>Candida krusei</i>). We concluded that patients infected by SARS-CoV-2 had a higher incidence of fungal coinfections, thus increasing the mortality rate, disease severity, and length of hospital stay in the intensive care unit.","Coinfection rates of candidiasis in patients affected by COVID-19 had a significantly increase during the sanitary contingency. The objective of this scoping review is to analyze the available scientific evidence around the coinfection of invasive candidiasis in hospitalized patients with severe COVID-19 disease. Online databases such as PubMed, EBSCO, SciFinder, Scopus, and SciELO were used to analyze the different scientific studies published from January 2020 to December 2022, selecting 48 publications that reported comorbidity between invasive candidiasis and COVID-19 as a study variable. Based on the PRISMA-ScR extension for scoping reviews, we identified more than half of the publications (57%) as observational, descriptive, and analytic studies, while 43% were systematic reviews. Overall, up to 169,468 adult patients admitted to the intensive care unit were examined. Coinfection was due mainly to <i>Candida albicans</i> (75%), but some more species were reported such as <i>Meyerozyma parapsilosis</i> (formerly <i>Candida parapsilosis</i>); <i>Meyerozyma guilliermondii</i> (formerly <i>Candida guilliermondii</i>); <i>Nakaseomyces glabratus</i> (formerly <i>Candida glabrata</i>); <i>Candida tropicalis</i>; <i>Candida dubliniensis</i>; <i>Clavispora lusitaniae</i> (formerly <i>Candida lusitaniae)</i>; and <i>Pichia kudriavzevii</i> (formerly <i>Candida krusei</i>). We concluded that patients infected by SARS-CoV-2 had a higher incidence of fungal coinfections, thus increasing the mortality rate, disease severity, and length of hospital stay in the intensive care unit.",EuropePMC
10.1093/ofid/ofaf001,A Systematic Literature Review to Determine Gaps in Diagnosing Suspected Infection in Solid Organ Transplant Recipients.,"<h4>Background</h4>Improved diagnostic testing (DT) of infections may optimize outcomes for solid organ transplant recipients (SOTR), but a comprehensive analysis is lacking.<h4>Methods</h4>We conducted a systematic literature review across multiple databases, including EMBASE and MEDLINE(R), of studies published between 1 January 2012-11 June 2022, to examine the evidence behind DT in SOTR. Eligibility criteria included the use of conventional diagnostic methods (culture, biomarkers, directed-polymerase chain reaction [PCR]) or advanced molecular diagnostics (broad-range PCR, metagenomics) to diagnose infections in hospitalized SOTR. Bias was assessed using tools such as the Cochrane Handbook and PRISMA 2020.<h4>Results</h4>Of 2362 studies, 72 were eligible and evaluated heterogeneous SOT populations, infections, biospecimens, DT, and outcomes. All studies exhibited bias, mainly in reporting quality. Median study sample size was 102 (range, 11-1307). Culture was the most common DT studied (N = 45 studies, 62.5%), with positive results in a median of 27.7% (range, 0%-88.3%). Biomarkers, PCR, and metagenomics were evaluated in 7, 19, and 3 studies, respectively; only 6 reported sensitivity, specificity, and positive/negative predictive values. Directed-PCR performed well for targeted pathogens, but only 1 study evaluated broad-range PCR. Metagenomics approaches detected numerous organisms but required clinical adjudication, with too few studies (N = 3) to draw conclusions. Turnaround time was shorter for PCR/metagenomics than conventional diagnostic methods (N = 4 studies, 5.6%). Only 6 studies reported the impact of DT on outcomes like antimicrobial use and length of stay.<h4>Conclusions</h4>We identified considerable evidence gaps in infection-related DT among SOT, particularly molecular DT, highlighting the need for further research.","<h4>Background</h4>Improved diagnostic testing (DT) of infections may optimize outcomes for solid organ transplant recipients (SOTR), but a comprehensive analysis is lacking.<h4>Methods</h4>We conducted a systematic literature review across multiple databases, including EMBASE and MEDLINE(R), of studies published between 1 January 2012-11 June 2022, to examine the evidence behind DT in SOTR. Eligibility criteria included the use of conventional diagnostic methods (culture, biomarkers, directed-polymerase chain reaction [PCR]) or advanced molecular diagnostics (broad-range PCR, metagenomics) to diagnose infections in hospitalized SOTR. Bias was assessed using tools such as the Cochrane Handbook and PRISMA 2020.<h4>Results</h4>Of 2362 studies, 72 were eligible and evaluated heterogeneous SOT populations, infections, biospecimens, DT, and outcomes. All studies exhibited bias, mainly in reporting quality. Median study sample size was 102 (range, 11-1307). Culture was the most common DT studied (N = 45 studies, 62.5%), with positive results in a median of 27.7% (range, 0%-88.3%). Biomarkers, PCR, and metagenomics were evaluated in 7, 19, and 3 studies, respectively; only 6 reported sensitivity, specificity, and positive/negative predictive values. Directed-PCR performed well for targeted pathogens, but only 1 study evaluated broad-range PCR. Metagenomics approaches detected numerous organisms but required clinical adjudication, with too few studies (N = 3) to draw conclusions. Turnaround time was shorter for PCR/metagenomics than conventional diagnostic methods (N = 4 studies, 5.6%). Only 6 studies reported the impact of DT on outcomes like antimicrobial use and length of stay.<h4>Conclusions</h4>We identified considerable evidence gaps in infection-related DT among SOT, particularly molecular DT, highlighting the need for further research.",EuropePMC
10.1002/cnr2.70199,The Clinical Safety and Efficacy of Cytarabine and Daunorubicin Liposome (CPX-351) in Acute Myeloid Leukemia Patients: A Systematic Review.,"<h4>Background</h4>Acute myeloid leukemia (AML) is an aggressive blood cancer with a poor prognosis when treated using conventional chemotherapy. CPX-351, a liposomal formulation of cytarabine and daunorubicin, has demonstrated potential as a novel therapeutic strategy.<h4>Aim</h4>This systematic review aims to evaluate the clinical safety and efficacy of CPX-351 compared to standard induction chemotherapy in patients with AML.<h4>Methods</h4>A systematic literature search was conducted using Web of Science, PubMed, Google Scholar, Ovid MEDLINE, and the Cochrane Library from 2011 to 2023. Overall, 14 clinical trials with more than 800 AML patients were included. Data on adverse events, survival outcomes, and response rates were extracted and analyzed.<h4>Results</h4>CPX-351 exhibited an adverse event profile that was comparable to that of conventional chemotherapy. It resulted in complete remission rates of 18%-41% in relapsed/refractory AML patients. For newly diagnosed individuals, CPX-351 led to complete remission rates of 41%-58%, surpassing the 14%-40% associated with standard chemotherapy. Additionally, it extended overall survival by 3.6-5.7 months, with significant advantages noted in high-risk cytogenetics and secondary AML cases.<h4>Conclusion</h4>This review presents strong evidence supporting CPX-351 as a therapeutic alternative with superior efficacy and comparable safety to standard chemotherapy across diverse AML populations. This represents a breakthrough in therapy, with demonstrated efficacy in AML cases.","<h4>Background</h4>Acute myeloid leukemia (AML) is an aggressive blood cancer with a poor prognosis when treated using conventional chemotherapy. CPX-351, a liposomal formulation of cytarabine and daunorubicin, has demonstrated potential as a novel therapeutic strategy.<h4>Aim</h4>This systematic review aims to evaluate the clinical safety and efficacy of CPX-351 compared to standard induction chemotherapy in patients with AML.<h4>Methods</h4>A systematic literature search was conducted using Web of Science, PubMed, Google Scholar, Ovid MEDLINE, and the Cochrane Library from 2011 to 2023. Overall, 14 clinical trials with more than 800 AML patients were included. Data on adverse events, survival outcomes, and response rates were extracted and analyzed.<h4>Results</h4>CPX-351 exhibited an adverse event profile that was comparable to that of conventional chemotherapy. It resulted in complete remission rates of 18%-41% in relapsed/refractory AML patients. For newly diagnosed individuals, CPX-351 led to complete remission rates of 41%-58%, surpassing the 14%-40% associated with standard chemotherapy. Additionally, it extended overall survival by 3.6-5.7 months, with significant advantages noted in high-risk cytogenetics and secondary AML cases.<h4>Conclusion</h4>This review presents strong evidence supporting CPX-351 as a therapeutic alternative with superior efficacy and comparable safety to standard chemotherapy across diverse AML populations. This represents a breakthrough in therapy, with demonstrated efficacy in AML cases.",EuropePMC
10.1111/ajd.14422,A Case of Sweet's Syndrome Presenting With Tongue Ulcerations.,"We describe the case of an 87-year-old woman who developed Sweet's syndrome with atypical mucosal involvement following a post-operative wound infection. The disease manifestations included two large, ulcerated plaques on both sides of the tongue as well as cutaneous lesions. Her lesions resolved promptly with oral prednisolone.","We describe the case of an 87-year-old woman who developed Sweet's syndrome with atypical mucosal involvement following a post-operative wound infection. The disease manifestations included two large, ulcerated plaques on both sides of the tongue as well as cutaneous lesions. Her lesions resolved promptly with oral prednisolone.",EuropePMC
