DOI,Title,Abstract,FullText,Source
10.1002/advs.202504601,A Tailored Artificial Biocatalyst for Bacterial Endophthalmitis Therapy via Enhanced Ferroptosis-Like Death.,"Bacterial endophthalmitis is an ophthalmological emergency that can lead to permanent blindness, and high-efficiency therapeutic strategies that can completely eradicate pathogens within a short timeframe are needed. However, intrinsic limitations of this disease, such as low administration frequency and dosage, render most currently available nano-antibacterial strategies inapplicable. To address this challenge, a bio-targeted catalytic strategy that is based on a bacteria-specific artificial biocatalyst (MoS<sub>2</sub>/Fe@mercaptophenylboronic acid@hyaluronic acid, MFBH) and suitable for treating bacterial endophthalmitis is proposed. The results show that MFBH exhibits high-efficiency peptidoglycan-targeted catalytic antibacterial capacity against both standard and clinically isolated strains of Staphylococcus aureus. Notably, the in vivo results demonstrate that MFBH achieves effective treatment of bacterial endophthalmitis at an extremely low dose (≈4 µg kg<sup>-1</sup>) via a single intravitreal injection without causing retinal damage. Importantly, the therapeutic efficacy of MFBH is comparable to that of vancomycin. Mechanistic analysis reveals that MFBH induces enhanced ferroptosis-like bacterial killing by accelerating reactive oxygen species (ROS) burst. Further investigations show that the generation of abundant ROS is closely associated with the sulfur vacancies and exposed of reactive Mo<sup>4+</sup> on the surface of the prepared artificial biocatalyst. In summary, this bacteria-specific artificial biocatalyst provides a promising strategy for treating endophthalmitis.","Bacterial endophthalmitis is an ophthalmological emergency that can lead to permanent blindness, and high-efficiency therapeutic strategies that can completely eradicate pathogens within a short timeframe are needed. However, intrinsic limitations of this disease, such as low administration frequency and dosage, render most currently available nano-antibacterial strategies inapplicable. To address this challenge, a bio-targeted catalytic strategy that is based on a bacteria-specific artificial biocatalyst (MoS<sub>2</sub>/Fe@mercaptophenylboronic acid@hyaluronic acid, MFBH) and suitable for treating bacterial endophthalmitis is proposed. The results show that MFBH exhibits high-efficiency peptidoglycan-targeted catalytic antibacterial capacity against both standard and clinically isolated strains of Staphylococcus aureus. Notably, the in vivo results demonstrate that MFBH achieves effective treatment of bacterial endophthalmitis at an extremely low dose (≈4 µg kg<sup>-1</sup>) via a single intravitreal injection without causing retinal damage. Importantly, the therapeutic efficacy of MFBH is comparable to that of vancomycin. Mechanistic analysis reveals that MFBH induces enhanced ferroptosis-like bacterial killing by accelerating reactive oxygen species (ROS) burst. Further investigations show that the generation of abundant ROS is closely associated with the sulfur vacancies and exposed of reactive Mo<sup>4+</sup> on the surface of the prepared artificial biocatalyst. In summary, this bacteria-specific artificial biocatalyst provides a promising strategy for treating endophthalmitis.",PubMed
10.1080/2162402x.2025.2514040,Combining local cytokine delivery and systemic immunization with recombinant artLCMV boosts antitumor efficacy in several preclinical tumor models.,"Among the plethora of cancer immune evasion mechanisms, T-cell-inhibiting factors within the tumor microenvironment impose a major challenge for the development of novel immunotherapies. Strategies to overcome immunosuppression and remodel the TME are therefore urgently needed. Therapeutic cancer vaccines based on engineered arenaviruses have been proven to generate potent tumor specific CD8+ T-cell responses in preclinical models and cancer patients. Despite signs of clinical activity as monotherapy, combination therapies are needed to further increase the therapeutic effect. To address this need, we evaluated the efficacy of recombinant vectors based on lymphocytic choriomeningitis virus encoding the T-cell stimulating cytokines IL-7, IL-12 and IL-15 with or without tumor-associated antigens. These vectors were tested in three different mouse tumor models (TC-1, MC-38 and B16.F10). Our results demonstrate that only IL-12 encoding vectors led to increased immunogenicity and efficacy, which, after systemic administration, was associated with adverse events. The safest and most potent regimen consisted of systemic vaccination with tumor antigen encoding vectors and local injection of IL-12-encoding vectors. A single round of this treatment regimen resulted in 86-100% tumor-free mice and warrants further investigation.","Among the plethora of cancer immune evasion mechanisms, T-cell-inhibiting factors within the tumor microenvironment impose a major challenge for the development of novel immunotherapies. Strategies to overcome immunosuppression and remodel the TME are therefore urgently needed. Therapeutic cancer vaccines based on engineered arenaviruses have been proven to generate potent tumor specific CD8+ T-cell responses in preclinical models and cancer patients. Despite signs of clinical activity as monotherapy, combination therapies are needed to further increase the therapeutic effect. To address this need, we evaluated the efficacy of recombinant vectors based on lymphocytic choriomeningitis virus encoding the T-cell stimulating cytokines IL-7, IL-12 and IL-15 with or without tumor-associated antigens. These vectors were tested in three different mouse tumor models (TC-1, MC-38 and B16.F10). Our results demonstrate that only IL-12 encoding vectors led to increased immunogenicity and efficacy, which, after systemic administration, was associated with adverse events. The safest and most potent regimen consisted of systemic vaccination with tumor antigen encoding vectors and local injection of IL-12-encoding vectors. A single round of this treatment regimen resulted in 86-100% tumor-free mice and warrants further investigation.",PubMed
10.1111/tid.70060,Transplant Infectious Disease Training: Bridging the Gap.,"An increasing complexity of organ transplantation, newer immunosuppressives, and an expanded donor pool requires a well-trained multidisciplinary workforce with surgeons, physicians, and infectious diseases (ID) physicians working together. In most countries, solid organ transplantation preceded the development of ID as a specialty leading to a lag in transplant infectious diseases (TID) physicians being a member of this team. This gap is further widened in low middle-income countries (LMIC) like India, where there is a dearth of laboratory facilities, which are essential for pretransplant screening and diagnosis of posttransplant infections. India though an LMIC does large volumes of organ and bone marrow transplantations. This article examines the current state of ID and TID training in India with an emphasis on the need for a structured and standardized educational pathway for future transplant professionals. Drawing on examples from existing programs and workforce data using a qualitative survey, we identify paramount challenges such as inconsistent exposure during medical and surgical training, limited access to transplant-specific education, and insufficient support for career development in transplant-related specialties. We propose a strategic framework to address these challenges with an emphasis on early exposure, interprofessional education, mentorship, and the integration of transplant content within undergraduate and postgraduate curricula. By encouraging a comprehensive national strategy, we aspire to bridge this training gap, ensuring workforce sustainability and ultimately improving patient outcomes for those awaiting transplantation.","An increasing complexity of organ transplantation, newer immunosuppressives, and an expanded donor pool requires a well-trained multidisciplinary workforce with surgeons, physicians, and infectious diseases (ID) physicians working together. In most countries, solid organ transplantation preceded the development of ID as a specialty leading to a lag in transplant infectious diseases (TID) physicians being a member of this team. This gap is further widened in low middle-income countries (LMIC) like India, where there is a dearth of laboratory facilities, which are essential for pretransplant screening and diagnosis of posttransplant infections. India though an LMIC does large volumes of organ and bone marrow transplantations. This article examines the current state of ID and TID training in India with an emphasis on the need for a structured and standardized educational pathway for future transplant professionals. Drawing on examples from existing programs and workforce data using a qualitative survey, we identify paramount challenges such as inconsistent exposure during medical and surgical training, limited access to transplant-specific education, and insufficient support for career development in transplant-related specialties. We propose a strategic framework to address these challenges with an emphasis on early exposure, interprofessional education, mentorship, and the integration of transplant content within undergraduate and postgraduate curricula. By encouraging a comprehensive national strategy, we aspire to bridge this training gap, ensuring workforce sustainability and ultimately improving patient outcomes for those awaiting transplantation.",PubMed
10.1093/jacamr/dlaf058,"Genomic diversity of clinically relevant bacterial pathogens from an acute care hospital in Suva, Fiji.","Antimicrobial resistance (AMR) is a global health threat, with third-generation cephalosporin-resistant (3GCR) and carbapenem-resistant infections of particular concern. There is currently a lack of genomic data on AMR organisms in the Pacific region. We aimed to address this gap by examining the genetic diversity of a collection of 788 Gram-negative and Gram-positive clinical isolates collected between July 2020 and October 2022 from a single hospital in Suva, Fiji. We sampled sensitive and resistant isolates, focusing on 3GCR and carbapenem-resistant Gram-negatives, and methicillin-resistant <i>Staphylococcus</i> and vancomycin-resistant <i>Enterococcus</i>. We detected 29 distinct species across 12 different genera. Amongst Gram-negative genomes, <i>Klebsiella pneumoniae, Escherichia coli, Acinetobacter baumannii</i> and <i>Pseudomonas aeruginosa</i> were the most common. Carbapenem resistance was mostly detected in <i>A. baumannii</i> ST2 and <i>P. aeruginosa</i> ST773, with both STs carrying NDM-1 and showing evidence of transmission within Fiji. Carbapenem resistance was relatively rare amongst the Enterobacterales; however, we observed evidence of transmission of OXA-232-carrying <i>K. pneumoniae</i> ST395 and NDM-7 <i>E. coli</i> ST410. For Gram-positive bacteria, <i>Staphylococcus aureus</i> ST1 was the dominant clone, and phylogenetic analysis revealed a single clade harbouring the majority of Fijian genomes, with close relationships to genomes from neighbouring Samoa. <i>Enterococcus</i> was relatively rare, with only 22 genomes detected. This study provides crucial genomic data on AMR organisms in Fiji, highlighting the diversity of resistant species in the region. Local transmission of four carbapenem-resistant clones within Fiji was observed, underscoring the importance of local spread of these resistant strains.","Antimicrobial resistance (AMR) is a global health threat, with third-generation cephalosporin-resistant (3GCR) and carbapenem-resistant infections of particular concern. There is currently a lack of genomic data on AMR organisms in the Pacific region. We aimed to address this gap by examining the genetic diversity of a collection of 788 Gram-negative and Gram-positive clinical isolates collected between July 2020 and October 2022 from a single hospital in Suva, Fiji. We sampled sensitive and resistant isolates, focusing on 3GCR and carbapenem-resistant Gram-negatives, and methicillin-resistant <i>Staphylococcus</i> and vancomycin-resistant <i>Enterococcus</i>. We detected 29 distinct species across 12 different genera. Amongst Gram-negative genomes, <i>Klebsiella pneumoniae, Escherichia coli, Acinetobacter baumannii</i> and <i>Pseudomonas aeruginosa</i> were the most common. Carbapenem resistance was mostly detected in <i>A. baumannii</i> ST2 and <i>P. aeruginosa</i> ST773, with both STs carrying NDM-1 and showing evidence of transmission within Fiji. Carbapenem resistance was relatively rare amongst the Enterobacterales; however, we observed evidence of transmission of OXA-232-carrying <i>K. pneumoniae</i> ST395 and NDM-7 <i>E. coli</i> ST410. For Gram-positive bacteria, <i>Staphylococcus aureus</i> ST1 was the dominant clone, and phylogenetic analysis revealed a single clade harbouring the majority of Fijian genomes, with close relationships to genomes from neighbouring Samoa. <i>Enterococcus</i> was relatively rare, with only 22 genomes detected. This study provides crucial genomic data on AMR organisms in Fiji, highlighting the diversity of resistant species in the region. Local transmission of four carbapenem-resistant clones within Fiji was observed, underscoring the importance of local spread of these resistant strains.",PubMed
10.2147/idr.s518461,Epidemiological Trends and Drug Resistance Patterns of Carbapenem-Resistant Gram-Negative Bacteria: A Retrospective Study in a Tertiary Hospital in China (2019-2024).,"To elucidate the distribution characteristics and drug resistance of carbapenem-resistant gram-negative bacteria (CR-GNB) within a general hospital setting from 2019 to 2024. The distribution characteristics of CR-GNB and antimicrobial resistance patterns among inpatients from 2019 to 2024 were investigated. The detection rate, departmental distribution, annual trends, and drug susceptibility profiles of key carbapenem-resistant bacterial species were compared. A total of 34, 370 patients infected with GNB were investigated, with 2967 cases identified as CR-GNB. Among these, the nosocomial infection rate of carbapenem-resistant <i>Enterobacteriaceae</i> (CRE), carbapenem-resistant <i>Acinetobacter baumannii</i> (CRAB), and carbapenem-resistant <i>Pseudomonas aeruginosa</i> (CRPA) were 33.11%, 44.02%, and 22.87%, respectively. The positivity rate for CR-GNB among male patients was 72.94%, with the vast majority of these infected patients (71.88%) aged 65 and above. In 2021, notable shifts in hospital infection control concerning CR-GNB were observed, with a reduction of over 40% in CRAB infection rates and a decline of over 35% in CRPA infection rates. The top three clinical departments with CR-GNB detection were the intensive care unit (ICU), intensive rehabilitation ward (HDU), and emergency ward. CR-GNB accounted for the largest proportion of respiratory infections (73.49%). Clinically isolated CR-GNB exhibited pan-resistance to commonly used clinical antimicrobial drugs, with only cefoperazone/sulbactam, amikacin, and tigecycline demonstrating high sensitivity. Analysis of carbapenemase production revealed a significant prevalence of Ambler class A enzymes. The detection of CR-GNB in this hospital from 2019 to 2024 indicates a widespread distribution across clinical departments and infection sites, coupled with a high rate of resistance to commonly used antimicrobials. Local hospitals should prioritize the distribution patterns of CR-GNB to develop personalized prevention strategies, strengthen hospital public health and infection prevention and control measures, and promote rational use of antibiotics to effectively curb the spread of CR-GNB infections.","To elucidate the distribution characteristics and drug resistance of carbapenem-resistant gram-negative bacteria (CR-GNB) within a general hospital setting from 2019 to 2024. The distribution characteristics of CR-GNB and antimicrobial resistance patterns among inpatients from 2019 to 2024 were investigated. The detection rate, departmental distribution, annual trends, and drug susceptibility profiles of key carbapenem-resistant bacterial species were compared. A total of 34, 370 patients infected with GNB were investigated, with 2967 cases identified as CR-GNB. Among these, the nosocomial infection rate of carbapenem-resistant <i>Enterobacteriaceae</i> (CRE), carbapenem-resistant <i>Acinetobacter baumannii</i> (CRAB), and carbapenem-resistant <i>Pseudomonas aeruginosa</i> (CRPA) were 33.11%, 44.02%, and 22.87%, respectively. The positivity rate for CR-GNB among male patients was 72.94%, with the vast majority of these infected patients (71.88%) aged 65 and above. In 2021, notable shifts in hospital infection control concerning CR-GNB were observed, with a reduction of over 40% in CRAB infection rates and a decline of over 35% in CRPA infection rates. The top three clinical departments with CR-GNB detection were the intensive care unit (ICU), intensive rehabilitation ward (HDU), and emergency ward. CR-GNB accounted for the largest proportion of respiratory infections (73.49%). Clinically isolated CR-GNB exhibited pan-resistance to commonly used clinical antimicrobial drugs, with only cefoperazone/sulbactam, amikacin, and tigecycline demonstrating high sensitivity. Analysis of carbapenemase production revealed a significant prevalence of Ambler class A enzymes. The detection of CR-GNB in this hospital from 2019 to 2024 indicates a widespread distribution across clinical departments and infection sites, coupled with a high rate of resistance to commonly used antimicrobials. Local hospitals should prioritize the distribution patterns of CR-GNB to develop personalized prevention strategies, strengthen hospital public health and infection prevention and control measures, and promote rational use of antibiotics to effectively curb the spread of CR-GNB infections.",PubMed
10.7717/peerj.19528,Gut microbiota diversity and composition in children with autism spectrum disorder: associations with symptom severity.,"Autism spectrum disorder (ASD) is a prevalent neurodevelopmental disorder impairing social and communication skills. Gut microbiota has become key in understanding ASD pathophysiology. However, the relationship between the ASD symptoms and alternation of gut microbiota still remains unknow. We hypothesize that the composition of gut microbiota in children with ASD may be strongly associated with the severity of their symptoms. Here, fecal samples from children (divided in to three groups: neurotypical, severe ASD and mild ASD) at a hospital were collected. The symptoms of ASD were assessed by an experienced pediatric neurologist, and the severity of the symptoms in children with ASD was determined based on the assessment scores. Then the diversity and composition of gut microbiota were detected by high-throughput sequencing. In total, 2,021 amplicon sequence variants (ASVs) were obtained from 46 fecal samples, with highest in the neurotypical group. Alpha diversity in bacteria differed between severe and mild ASD. Microbiota health and dysbiosis indices varied with ASD severity. Beta diversity indicated that severe ASD differed from others, and mild ASD was closer to neurotypical in community structure. At the phylum level, Firmicutes was the dominant bacteria but abundances differed in different groups, and Ascomycota increased in severe ASD fungi. At the genus level, groups had distinct dominants, and mild ASD microbiota resembled that of neurotypical children. Function prediction revealed differences in bacteria and fungi, with severe ASD having higher amino acid metabolism, lower cofactor/vitamin metabolism, and more undefined saprotrophs. This study revealed gut microbiota differences between ASD children (varying symptoms) and neurotypical ones, showing milder ASD closer in microbiota aspects. It offers insights for exploring ASD pathogenesis and devising interventions.","Autism spectrum disorder (ASD) is a prevalent neurodevelopmental disorder impairing social and communication skills. Gut microbiota has become key in understanding ASD pathophysiology. However, the relationship between the ASD symptoms and alternation of gut microbiota still remains unknow. We hypothesize that the composition of gut microbiota in children with ASD may be strongly associated with the severity of their symptoms. Here, fecal samples from children (divided in to three groups: neurotypical, severe ASD and mild ASD) at a hospital were collected. The symptoms of ASD were assessed by an experienced pediatric neurologist, and the severity of the symptoms in children with ASD was determined based on the assessment scores. Then the diversity and composition of gut microbiota were detected by high-throughput sequencing. In total, 2,021 amplicon sequence variants (ASVs) were obtained from 46 fecal samples, with highest in the neurotypical group. Alpha diversity in bacteria differed between severe and mild ASD. Microbiota health and dysbiosis indices varied with ASD severity. Beta diversity indicated that severe ASD differed from others, and mild ASD was closer to neurotypical in community structure. At the phylum level, Firmicutes was the dominant bacteria but abundances differed in different groups, and Ascomycota increased in severe ASD fungi. At the genus level, groups had distinct dominants, and mild ASD microbiota resembled that of neurotypical children. Function prediction revealed differences in bacteria and fungi, with severe ASD having higher amino acid metabolism, lower cofactor/vitamin metabolism, and more undefined saprotrophs. This study revealed gut microbiota differences between ASD children (varying symptoms) and neurotypical ones, showing milder ASD closer in microbiota aspects. It offers insights for exploring ASD pathogenesis and devising interventions.",PubMed
10.1101/2025.05.03.652018,Virion stripping: A new role for bacterial proteases.,"We demonstrate that proteases produced by the oro-pharyngeal bacterial colonizer <i>Porphyromonas gingivalis (Pg)</i> reduce viral burden and modulate host interferon responses during respiratory syncytial virus (RSV) infection. Several oral bacteria, including <i>Pg</i> , have been shown to translocate to the upper airways through sub-clinical micro-aspiration. Our findings reveal that <i>Pg</i> , upon translocating to this new niche, significantly attenuated lung damage by reducing viral loads during respiratory viral infections in the lungs of wild-type mice. This protective effect was attributed to the activity of gingipains, cysteine endopeptidases produced by <i>Pg</i> , which cleaved envelope glycoproteins on RSV as well as on related murine-specific Sendai virus (SeV), thereby impairing their infectious capacity. Notably, the reduction in viral loads was independent of interferon lambda (IFN-λ) signaling, which is actively suppressed by <i>Pg</i> in airway epithelial cells. However, the complete absence of IFN-λ signaling resulted in a stronger inflammatory response despite a low viral load. Thus, we show a previously undescribed role for the oro-respiratory bacterial colonizer <i>Pg</i> in creating bottlenecks to viral infection by the activity of its proteases. Reciprocal interactions between microbial colonizers and host epithelial cells are critical for providing initial defense against viral infections. However, our understanding of this phenomenon has been limited to microbiota-derived ligands that activate host pattern recognition receptors (PRRs), inducing basal interferon expression and downstream antiviral genes. Here, we present a novel mechanism that relies on microbial proteases to directly reduce viral load. Specifically, we discovered that the infectious capacity of the Respiratory Syncytial Virus (RSV) was significantly inhibited upon contact with the proteases (gingipains) produced by the oropharyngeal colonizer <i>Porphyromonas gingivalis</i> . Gingipains caused proteolytic degradation of the RSV envelope and attachment proteins, rendering them inactive. This preemptive reduction in viral infectious capacity consequently diminished the severity of respiratory viral infections in an IFN-independent manner.","We demonstrate that proteases produced by the oro-pharyngeal bacterial colonizer <i>Porphyromonas gingivalis (Pg)</i> reduce viral burden and modulate host interferon responses during respiratory syncytial virus (RSV) infection. Several oral bacteria, including <i>Pg</i> , have been shown to translocate to the upper airways through sub-clinical micro-aspiration. Our findings reveal that <i>Pg</i> , upon translocating to this new niche, significantly attenuated lung damage by reducing viral loads during respiratory viral infections in the lungs of wild-type mice. This protective effect was attributed to the activity of gingipains, cysteine endopeptidases produced by <i>Pg</i> , which cleaved envelope glycoproteins on RSV as well as on related murine-specific Sendai virus (SeV), thereby impairing their infectious capacity. Notably, the reduction in viral loads was independent of interferon lambda (IFN-λ) signaling, which is actively suppressed by <i>Pg</i> in airway epithelial cells. However, the complete absence of IFN-λ signaling resulted in a stronger inflammatory response despite a low viral load. Thus, we show a previously undescribed role for the oro-respiratory bacterial colonizer <i>Pg</i> in creating bottlenecks to viral infection by the activity of its proteases. Reciprocal interactions between microbial colonizers and host epithelial cells are critical for providing initial defense against viral infections. However, our understanding of this phenomenon has been limited to microbiota-derived ligands that activate host pattern recognition receptors (PRRs), inducing basal interferon expression and downstream antiviral genes. Here, we present a novel mechanism that relies on microbial proteases to directly reduce viral load. Specifically, we discovered that the infectious capacity of the Respiratory Syncytial Virus (RSV) was significantly inhibited upon contact with the proteases (gingipains) produced by the oropharyngeal colonizer <i>Porphyromonas gingivalis</i> . Gingipains caused proteolytic degradation of the RSV envelope and attachment proteins, rendering them inactive. This preemptive reduction in viral infectious capacity consequently diminished the severity of respiratory viral infections in an IFN-independent manner.",PubMed
10.3389/fmolb.2025.1573618,Unravelling drug resistance in leishmaniasis: genomic adaptations and emerging therapies.,"Leishmaniasis remains a significant global health challenge, with over a billion people at risk of infection and limited effective treatment options due to escalating drug resistance. This review explores the underlying mechanisms of drug resistance in <i>Leishmania</i> species, focusing on genomic plasticity as a driving factor for survival and adaptation. Key mechanisms, including genetic mutations, gene amplification, chromosomal rearrangements, and efflux transporters, contribute to the parasite's ability to evade existing therapies. Advances in genomic and proteomic studies have provided deeper insights into these resistance pathways, enabling the development of novel therapeutic strategies. Additionally, this review highlights current therapeutic approaches, including combination therapies and potential new drug candidates, that address multidrug resistance and explore the vulnerabilities of <i>Leishmania</i>. Understanding these mechanisms and their clinical implications is essential for developing targeted interventions that improve treatment outcomes and combat resistance in leishmaniasis.","Leishmaniasis remains a significant global health challenge, with over a billion people at risk of infection and limited effective treatment options due to escalating drug resistance. This review explores the underlying mechanisms of drug resistance in <i>Leishmania</i> species, focusing on genomic plasticity as a driving factor for survival and adaptation. Key mechanisms, including genetic mutations, gene amplification, chromosomal rearrangements, and efflux transporters, contribute to the parasite's ability to evade existing therapies. Advances in genomic and proteomic studies have provided deeper insights into these resistance pathways, enabling the development of novel therapeutic strategies. Additionally, this review highlights current therapeutic approaches, including combination therapies and potential new drug candidates, that address multidrug resistance and explore the vulnerabilities of <i>Leishmania</i>. Understanding these mechanisms and their clinical implications is essential for developing targeted interventions that improve treatment outcomes and combat resistance in leishmaniasis.",PubMed
10.1101/2025.05.26.25328346,"A prospective, comparative cohort analysis of influenza antibody waning in Michigan and Hong Kong during periods of low influenza circulation.","Reduced influenza transmission during the COVID-19 pandemic prompted concern about waning of population immunity that could lead to subsequent surges in circulation. We evaluated this by comparing longitudinal influenza antibody titers in Michigan and Hong Kong, two regions with reduced influenza transmission during the COVID-19 pandemic. In two prospective cohort studies (HIVE, Michigan; EPI-HK, Hong Kong), we analyzed longitudinal serum samples collected from 2020 through 2023 from participants without documented influenza virus infection or vaccination. Sera were tested using hemagglutination inhibition assays (HAI) against relevant vaccine strains. Geometric mean titers (GMTs) and fold changes were estimated by region and time. Linear mixed-effects models were used to assess temporal trends. We analyzed 173 sera from 57 HIVE participants and 259 sera from 60 EPI-HK participants. Initial GMTs in 2020-21 ranged from 12.3-123.4 in HIVE and 6.3-40.9 in EPI-HK (B/Yamagata-H1N1). Fold changes in GMTs ranged from 1.2-2.6 in HIVE and 0.7-1.0 in EPI-HK. In HIVE models, no significant change in HAI titers over time was detected. In EPI-HK, small but statistically significant monthly declines were observed for select H1N1 (A/Michigan) and H3N2 (A/Hong Kong) strains (e.g., A/Hong Kong: -0.98%, 95% CI: -1.82% to -0.11%). Minimal HAI titer waning was observed in both regions. In some cases, antibody levels increased in Michigan, possibly indicating cryptic circulation of strains prior to the 2022/23 influenza season. These findings do not support an ""immunity debt"" during pandemic restrictions and could help explain the lack of a substantial surge in influenza impact after the COVID-19 pandemic.","Reduced influenza transmission during the COVID-19 pandemic prompted concern about waning of population immunity that could lead to subsequent surges in circulation. We evaluated this by comparing longitudinal influenza antibody titers in Michigan and Hong Kong, two regions with reduced influenza transmission during the COVID-19 pandemic. In two prospective cohort studies (HIVE, Michigan; EPI-HK, Hong Kong), we analyzed longitudinal serum samples collected from 2020 through 2023 from participants without documented influenza virus infection or vaccination. Sera were tested using hemagglutination inhibition assays (HAI) against relevant vaccine strains. Geometric mean titers (GMTs) and fold changes were estimated by region and time. Linear mixed-effects models were used to assess temporal trends. We analyzed 173 sera from 57 HIVE participants and 259 sera from 60 EPI-HK participants. Initial GMTs in 2020-21 ranged from 12.3-123.4 in HIVE and 6.3-40.9 in EPI-HK (B/Yamagata-H1N1). Fold changes in GMTs ranged from 1.2-2.6 in HIVE and 0.7-1.0 in EPI-HK. In HIVE models, no significant change in HAI titers over time was detected. In EPI-HK, small but statistically significant monthly declines were observed for select H1N1 (A/Michigan) and H3N2 (A/Hong Kong) strains (e.g., A/Hong Kong: -0.98%, 95% CI: -1.82% to -0.11%). Minimal HAI titer waning was observed in both regions. In some cases, antibody levels increased in Michigan, possibly indicating cryptic circulation of strains prior to the 2022/23 influenza season. These findings do not support an ""immunity debt"" during pandemic restrictions and could help explain the lack of a substantial surge in influenza impact after the COVID-19 pandemic.",PubMed
10.1101/2025.05.25.25328306,Prospective Genomic Surveillance of Severe Febrile Illness in Tanzanian Children Identifies High Mortality and Resistance to First-Line Antibiotics in Bloodstream Infections.,"We evaluated the prevalence, pathogen profile, and antimicrobial resistance (AMR) patterns of bloodstream infections (BSIs) among 392 children with severe febrile illness who presented (July 26, 2022-September 20, 2023) to a referral hospital in Tanzania. We identified a causative pathogen in 9.8% (n=38) of participants. Blood culture analysis confirmed BSI in 5.2% (n=20) of participants with a case fatality rate of 45%. Whole genome sequencing (WGS) of blood culture isolates identified gram-negative bacteria ( <i>Escherichia coli, Klebsiella pneumoniae</i> ) as the predominant pathogens, many exhibiting extended-spectrum beta-lactamase (ESBL) resistance genes (CTX-M-15, CTX-M-27), rendering them resistant to first-line antimicrobials. We also observed probable nosocomial transmission in ventilated patients based on phylogenetic analyses of tracheal aspirate isolates. There is an urgent need for enhanced AMR surveillance, empiric antibiotic regimens tailored to local AMR patterns, culture-independent diagnostics, and robust infection control practices in resource-limited settings to mitigate BSI-related mortality and minimize nosocomial transmission risk. NIAID K23AI144029 (TBK), NIAID K23AI185326 (VTC), Chan Zuckerberg Biohub (JLD, CRL). Genomic surveillance of severe febrile illness in Tanzanian children reveals high mortality rates and widespread resistance to first-line antibiotics, highlighting the urgent need for tailored treatments and enhanced antimicrobial resistance monitoring.","We evaluated the prevalence, pathogen profile, and antimicrobial resistance (AMR) patterns of bloodstream infections (BSIs) among 392 children with severe febrile illness who presented (July 26, 2022-September 20, 2023) to a referral hospital in Tanzania. We identified a causative pathogen in 9.8% (n=38) of participants. Blood culture analysis confirmed BSI in 5.2% (n=20) of participants with a case fatality rate of 45%. Whole genome sequencing (WGS) of blood culture isolates identified gram-negative bacteria ( <i>Escherichia coli, Klebsiella pneumoniae</i> ) as the predominant pathogens, many exhibiting extended-spectrum beta-lactamase (ESBL) resistance genes (CTX-M-15, CTX-M-27), rendering them resistant to first-line antimicrobials. We also observed probable nosocomial transmission in ventilated patients based on phylogenetic analyses of tracheal aspirate isolates. There is an urgent need for enhanced AMR surveillance, empiric antibiotic regimens tailored to local AMR patterns, culture-independent diagnostics, and robust infection control practices in resource-limited settings to mitigate BSI-related mortality and minimize nosocomial transmission risk. NIAID K23AI144029 (TBK), NIAID K23AI185326 (VTC), Chan Zuckerberg Biohub (JLD, CRL). Genomic surveillance of severe febrile illness in Tanzanian children reveals high mortality rates and widespread resistance to first-line antibiotics, highlighting the urgent need for tailored treatments and enhanced antimicrobial resistance monitoring.",PubMed
